Period,Passenger_type,Direction,Country,Orign,Destination,Count
201501,Overseas visitor,Arrival,Afghanistan,Afghanistan,New Zealand,16
201501,Overseas visitor,Arrival,Andorra,Andorra,New Zealand,16
201501,Overseas visitor,Arrival,Antarctica,Antarctica,New Zealand,32
201501,Overseas visitor,Arrival,Argentina,Argentina,New Zealand,560
201501,Overseas visitor,Arrival,Australia,Australia,New Zealand,119344
201501,Overseas visitor,Arrival,Austria,Austria,New Zealand,1104
201501,Overseas visitor,Arrival,Azerbaijan,Azerbaijan,New Zealand,16
201501,Overseas visitor,Arrival,Bahrain,Bahrain,New Zealand,32
201501,Overseas visitor,Arrival,Bangladesh,Bangladesh,New Zealand,32
201501,Overseas visitor,Arrival,Belarus,Belarus,New Zealand,32
201501,Overseas visitor,Arrival,Belgium,Belgium,New Zealand,768
201501,Overseas visitor,Arrival,Bermuda,Bermuda,New Zealand,16
201501,Overseas visitor,Arrival,Bolivia,Bolivia,New Zealand,16
201501,Overseas visitor,Arrival,Botswana,Botswana,New Zealand,16
201501,Overseas visitor,Arrival,Brazil,Brazil,New Zealand,1856
201501,Overseas visitor,Arrival,Brunei Darussalam,Brunei Darussalam,New Zealand,64
201501,Overseas visitor,Arrival,Bulgaria,Bulgaria,New Zealand,80
201501,Overseas visitor,Arrival,Cambodia,Cambodia,New Zealand,48
201501,Overseas visitor,Arrival,Canada,Canada,New Zealand,6496
201501,Overseas visitor,Arrival,Chile,Chile,New Zealand,624
201501,Overseas visitor,Arrival,China,China,New Zealand,25680
201501,Overseas visitor,Arrival,Colombia,Colombia,New Zealand,208
201501,Overseas visitor,Arrival,Cook Islands,Cook Islands,New Zealand,864
201501,Overseas visitor,Arrival,Costa Rica,Costa Rica,New Zealand,32
201501,Overseas visitor,Arrival,Croatia,Croatia,New Zealand,64
201501,Overseas visitor,Arrival,Cyprus,Cyprus,New Zealand,48
201501,Overseas visitor,Arrival,Czech Republic,Czech Republic,New Zealand,576
201501,Overseas visitor,Arrival,Denmark,Denmark,New Zealand,2208
201501,Overseas visitor,Arrival,Ecuador,Ecuador,New Zealand,48
201501,Overseas visitor,Arrival,Egypt,Egypt,New Zealand,32
201501,Overseas visitor,Arrival,Estonia,Estonia,New Zealand,64
201501,Overseas visitor,Arrival,Fiji,Fiji,New Zealand,1760
201501,Overseas visitor,Arrival,Finland,Finland,New Zealand,768
201501,Overseas visitor,Arrival,France,France,New Zealand,4112
201501,Overseas visitor,Arrival,French Polynesia,French Polynesia,New Zealand,1392
201501,Overseas visitor,Arrival,Germany,Germany,New Zealand,11392
201501,Overseas visitor,Arrival,Gibraltar,Gibraltar,New Zealand,16
201501,Overseas visitor,Arrival,Greece,Greece,New Zealand,144
201501,Overseas visitor,Arrival,Guadeloupe,Guadeloupe,New Zealand,16
201501,Overseas visitor,Arrival,Guam,Guam,New Zealand,32
201501,Overseas visitor,Arrival,Hong Kong,Hong Kong,New Zealand,1936
201501,Overseas visitor,Arrival,Hungary,Hungary,New Zealand,176
201501,Overseas visitor,Arrival,Iceland,Iceland,New Zealand,32
201501,Overseas visitor,Arrival,India,India,New Zealand,3200
201501,Overseas visitor,Arrival,Indonesia,Indonesia,New Zealand,624
201501,Overseas visitor,Arrival,Iran,Iran,New Zealand,32
201501,Overseas visitor,Arrival,Iraq,Iraq,New Zealand,16
201501,Overseas visitor,Arrival,Ireland,Ireland,New Zealand,1456
201501,Overseas visitor,Arrival,Israel,Israel,New Zealand,880
201501,Overseas visitor,Arrival,Italy,Italy,New Zealand,1088
201501,Overseas visitor,Arrival,Jamaica,Jamaica,New Zealand,16
201501,Overseas visitor,Arrival,Japan,Japan,New Zealand,7472
201501,Overseas visitor,Arrival,Jordan,Jordan,New Zealand,16
201501,Overseas visitor,Arrival,Kazakhstan,Kazakhstan,New Zealand,16
201501,Overseas visitor,Arrival,Kenya,Kenya,New Zealand,32
201501,Overseas visitor,Arrival,Kiribati,Kiribati,New Zealand,32
201501,Overseas visitor,Arrival,"Korea, Republic of","Korea, Republic of",New Zealand,10112
201501,Overseas visitor,Arrival,Kuwait,Kuwait,New Zealand,48
201501,Overseas visitor,Arrival,Kyrgyzstan,Kyrgyzstan,New Zealand,16
201501,Overseas visitor,Arrival,Laos,Laos,New Zealand,32
201501,Overseas visitor,Arrival,Latvia,Latvia,New Zealand,80
201501,Overseas visitor,Arrival,Lebanon,Lebanon,New Zealand,16
201501,Overseas visitor,Arrival,Lithuania,Lithuania,New Zealand,32
201501,Overseas visitor,Arrival,Luxembourg,Luxembourg,New Zealand,64
201501,Overseas visitor,Arrival,Macau,Macau,New Zealand,80
